name,recall,ndcg,epoch,n_patience
lr_0.01,0.22405801709694384,0.09940603559149323,8,20
emb_32,0.23977301911482346,0.10694477548717359,137,20
reg_0.01,0.25664983062040625,0.11012453974275634,235,20
n_layers_2,0.2524183981704558,0.1127746309806866,113,20
lr_0.0001,0.25439958908632854,0.11323990682167162,993,7
batch_2048,0.25502329733762186,0.11397754988991095,88,20
baseline,0.25644192786997516,0.114389206312602,134,20
reg_0.00001,0.2580562315792048,0.11515511279174927,134,20
batch_4096,0.25720016143037094,0.11521296488271,92,20
n_layers_4,0.25894899044870306,0.11596572284668899,151,20
n_layers_8,0.26259340336802456,0.11695718053230796,159,0
n_layers_5,0.2612359207034451,0.11714218645635036,169,20
emb_128,0.26184739938118357,0.11725210318120115,103,20
n_layers_6,0.26308258631021536,0.1179816044634147,192,20
emb_1024,0.26386527901772067,0.1182969670674716,37,20
reg_0.001,0.2700779023835439,0.11843492167212977,221,20
n_layers_7,0.26386527901772067,0.11859434845970136,200,20
emb_256,0.26558964888894326,0.11871185447829338,65,20
emb_512,0.266188897993127,0.11911857520971979,53,20
emb_1024_n_layers_4,0.26496594063764994,0.11913890933213211,62,20
emb_1024_reg_0.01,0.2727439494184838,0.11958980515583248,75,20
emb_256_n_layers_4,0.26689821325930363,0.11962794389219004,95,20
emb_512_n_layers_4,0.26770536511391846,0.11988457876967835,67,20
emb_256_reg_0.001,0.28288226589538823,0.1254216412513712,142,20
emb_1024_reg_0.001,0.2829801024838264,0.12549465298468956,66,20
emb_512_reg_0.001,0.2842886668541868,0.12613026121277449,96,20
emb_512_n_layers_4_reg_0.001,0.28540155804767087,0.12689267756368613,155,20
emb_512_n_layers_5_reg_0.001,0.2874561264048723,0.1276325458781927,126,20
emb_512_n_layers_5_reg_0.001_gentle_0.05,0.28889921608433516,0.12826513621565352,126,20
emb_512_n_layers_7_reg_0.001,0.2888869865107804,0.12861976063052405,214,20
emb_512_n_layers_8_reg_0.001,0.2870403209040101,0.128698716511821,265,20
emb_512_n_layers_6_reg_0.001_gentle_0.05,0.28859347674546587,0.12875160205156938,214,20
emb_512_n_layers_6_reg_0.001,0.28738274896354365,0.12875455633588942,265,20
emb_512_n_layers_5_reg_0.001_gentle_0.1,0.2899509594100454,0.12930689738707637,129,20
emb_512_n_layers_6_reg_0.001_gentle_0.1,0.29069696339688633,0.1296524855460207,215,20
emb_512_n_layers_7_reg_0.001_gentle_0.05,0.29069696339688633,0.12981913835224268,219,20
emb_512_n_layers_8_reg_0.001_gentle_0.05,0.29036676491090757,0.1300009791769004,265,20
emb_512_n_layers_8_reg_0.001_gentle_0.1,0.2913940490895082,0.1303954429552966,215,20
emb_512_n_layers_7_reg_0.001_gentle_0.1,0.2924335628416637,0.13069193776658702,216,20
